no._of_cases,tempmax,tempmin,temp,humidity,precip,precipcover,Number of searches,Total Population 
294,31.099999999999998,25.014285714285712,27.557142857142857,78.67142857142858,2.5662857142857143,4.761428571428572,21,5399162.0
247,32.385714285714286,25.185714285714287,28.014285714285712,82.35714285714286,14.281714285714285,8.332857142857142,19,5399162.0
272,32.01428571428571,25.87142857142857,28.17142857142857,77.25714285714285,0.5559999999999999,2.3814285714285717,19,5399162.0
307,33.042857142857144,25.514285714285712,28.357142857142858,77.54285714285716,0.10728571428571429,1.19,19,5399162.0
305,33.34285714285714,26.32857142857143,28.957142857142856,75.48571428571428,5.047857142857143,1.7857142857142858,19,5399162.0
314,33.1,26.17142857142857,28.87142857142857,79.85714285714286,2.640857142857143,2.9771428571428573,19,5399162.0
402,33.2,26.47142857142857,28.82857142857143,80.18571428571428,9.416142857142857,5.36,49,5399162.0
491,32.42857142857143,25.814285714285713,28.585714285714285,78.81428571428572,2.2094285714285715,3.5714285714285716,49,5399162.0
505,33.114285714285714,25.685714285714287,29.071428571428573,78.38571428571429,3.4675714285714285,5.951428571428571,49,5399162.0
536,31.914285714285715,25.5,28.24285714285714,81.8,4.523571428571429,5.951428571428571,49,5399162.0
547,31.985714285714288,26.599999999999998,28.771428571428572,81.44285714285715,1.2072857142857143,3.5714285714285716,49,5399162.0
556,32.55714285714286,25.82857142857143,28.400000000000002,83.21428571428571,10.898142857142858,6.547142857142857,49,5399162.0
611,32.957142857142856,26.442857142857143,29.271428571428572,78.05714285714285,5.890142857142857,4.762857142857143,49,5399162.0
637,32.128571428571426,26.057142857142857,28.47142857142857,81.55714285714285,4.0677142857142865,4.761428571428572,49,5399162.0
742,32.51428571428571,25.17142857142857,28.228571428571428,80.08571428571429,5.759857142857143,5.355714285714286,100,5399162.0
813,32.98571428571429,25.400000000000002,28.25714285714286,81.75714285714285,5.491714285714286,4.168571428571428,100,5399162.0
805,33.714285714285715,27.52857142857143,30.457142857142856,68.07142857142857,2.993142857142857,1.1914285714285715,100,5399162.0
838,34.48571428571429,27.2,30.599999999999998,62.05714285714286,0.2302857142857143,1.19,100,5399162.0
802,32.457142857142856,26.485714285714288,29.25714285714286,75.81428571428572,1.3548571428571428,2.9771428571428573,100,5399162.0
676,31.6,26.17142857142857,28.557142857142857,76.34285714285714,3.603857142857143,4.761428571428572,46,5399162.0
540,30.942857142857143,25.385714285714283,27.957142857142856,79.81428571428572,6.227142857142858,7.738571428571428,46,5399162.0
389,31.814285714285713,25.685714285714287,28.014285714285712,79.11428571428571,6.143142857142856,6.547142857142857,46,5399162.0
305,31.785714285714285,25.614285714285717,28.342857142857145,78.47142857142856,6.317428571428572,4.762857142857143,46,5399162.0
288,30.985714285714288,25.02857142857143,28.214285714285715,77.51428571428572,3.3337142857142856,4.167142857142857,29,5399162.0
255,30.985714285714288,24.599999999999998,27.82857142857143,79.45714285714287,13.192285714285715,7.1414285714285715,29,5399162.0
378,31.057142857142857,25.085714285714285,28.02857142857143,79.28571428571429,1.6124285714285715,2.9757142857142855,29,5399162.0
338,31.914285714285715,26.342857142857145,28.785714285714285,74.52857142857144,1.4401428571428574,2.9771428571428573,29,5399162.0
382,31.714285714285715,26.085714285714285,28.400000000000002,77.64285714285714,1.1921428571428572,2.9757142857142855,27,5399162.0
449,29.885714285714283,23.942857142857143,26.757142857142856,83.98571428571428,13.02442857142857,10.714285714285714,27,5399162.0
337,30.085714285714285,25.314285714285713,27.47142857142857,81.45714285714287,5.6778571428571425,7.1414285714285715,27,5399162.0
370,32.01428571428571,26.271428571428572,28.842857142857145,77.8,2.7285714285714286,1.19,27,5399162.0
402,31.8,25.114285714285717,28.457142857142856,77.95714285714287,10.740714285714287,2.9757142857142855,27,5399162.0
439,31.74285714285714,25.042857142857144,28.37142857142857,75.68571428571428,1.4084285714285714,6.547142857142857,34,5399162.0
435,32.271428571428565,25.414285714285715,28.642857142857142,75.31428571428572,3.7704285714285715,4.761428571428572,34,5399162.0
371,31.857142857142858,25.071428571428573,28.32857142857143,79.61428571428573,26.313714285714287,7.142857142857143,34,5399162.0
495,32.042857142857144,24.771428571428572,27.8,79.78571428571429,0.5532857142857143,1.7857142857142858,34,5399162.0
457,31.885714285714283,24.942857142857143,27.37142857142857,84.27142857142857,8.557857142857143,2.382857142857143,34,5399162.0
401,31.942857142857143,24.842857142857145,27.52857142857143,83.71428571428571,11.720428571428572,7.737142857142857,34,5399162.0
442,30.657142857142855,24.642857142857142,27.085714285714285,85.55714285714285,4.708857142857143,6.548571428571429,34,5399162.0
365,31.857142857142858,24.900000000000002,28.071428571428573,80.41428571428571,2.3514285714285714,5.357142857142857,34,5399162.0
372,31.5,25.142857142857142,27.271428571428572,86.87142857142858,11.013142857142856,10.120000000000001,25,5399162.0
347,29.571428571428573,24.157142857142855,26.02857142857143,90.01428571428572,24.557285714285715,10.120000000000001,25,5399162.0
380,31.82857142857143,24.47142857142857,27.400000000000002,85.12857142857142,4.737571428571428,4.761428571428572,25,5399162.0
371,31.514285714285712,23.771428571428572,27.142857142857142,82.84285714285714,10.620142857142858,5.951428571428572,25,5399162.0
414,29.599999999999998,25.085714285714285,26.900000000000002,83.7,0.6448571428571429,3.5728571428571425,25,5399162.0
436,29.414285714285715,24.74285714285714,26.814285714285713,85.8,4.044142857142857,7.738571428571428,27,5469724.0
479,30.157142857142855,24.52857142857143,26.785714285714285,85.81428571428572,7.105571428571429,5.954285714285715,27,5469724.0
401,29.3,24.400000000000002,26.52857142857143,76.85714285714286,0.0,0.0,27,5469724.0
336,29.114285714285717,23.67142857142857,25.928571428571427,74.7,0.0,0.0,27,5469724.0
234,30.457142857142856,23.342857142857145,26.25714285714286,72.94285714285715,0.0,0.0,25,5469724.0
273,31.771428571428572,23.642857142857142,26.814285714285713,75.7,0.024857142857142855,0.5957142857142858,25,5469724.0
369,32.028571428571425,25.2,27.87142857142857,76.3,0.0,0.0,25,5469724.0
193,31.814285714285713,25.085714285714285,27.785714285714285,74.08571428571429,0.0,0.0,25,5469724.0
186,31.957142857142856,24.599999999999998,27.585714285714285,72.12857142857142,0.0,0.0,20,5469724.0
209,32.84285714285714,24.514285714285712,27.857142857142858,71.75714285714285,0.0,0.0,20,5469724.0
224,32.42857142857143,25.114285714285717,28.071428571428573,74.87142857142858,6.474142857142858,2.3814285714285717,20,5469724.0
210,31.74285714285714,25.185714285714287,27.542857142857144,81.11428571428571,1.5627142857142857,3.5714285714285716,20,5469724.0
225,32.971428571428575,25.771428571428572,28.771428571428572,76.85714285714286,0.05442857142857143,1.1914285714285715,20,5469724.0
240,31.97142857142857,26.157142857142855,28.728571428571428,78.10000000000001,2.8322857142857143,2.3814285714285717,20,5469724.0
244,32.7,25.32857142857143,28.24285714285714,78.25714285714285,3.4684285714285714,5.951428571428571,20,5469724.0
235,32.385714285714286,26.071428571428573,28.614285714285717,79.10000000000001,3.671285714285714,2.3814285714285717,20,5469724.0
282,33.357142857142854,25.571428571428573,28.571428571428573,80.24285714285715,0.893,2.3814285714285717,20,5469724.0
251,33.17142857142857,26.400000000000002,29.3,77.82857142857142,2.422285714285714,4.762857142857143,20,5469724.0
261,33.18571428571429,26.485714285714288,29.24285714285714,78.8,3.8695714285714287,3.5728571428571425,20,5469724.0
291,31.928571428571427,26.099999999999998,28.857142857142858,78.24285714285715,6.995142857142857,4.168571428571428,20,5469724.0
427,32.4,25.442857142857143,28.271428571428572,81.5,1.8822857142857143,4.761428571428572,20,5469724.0
456,32.17142857142857,26.571428571428573,28.914285714285715,79.05714285714285,4.864428571428571,5.357142857142857,28,5469724.0
458,31.314285714285717,26.342857142857145,28.614285714285717,82.0,2.597857142857143,7.142857142857143,28,5469724.0
506,33.15714285714286,26.428571428571427,29.67142857142857,77.24285714285713,3.0901428571428573,4.167142857142857,28,5469724.0
550,33.871428571428574,27.25714285714286,30.400000000000002,72.28571428571429,0.7194285714285714,1.7857142857142858,28,5469724.0
671,32.51428571428571,26.5,29.442857142857143,74.28571428571429,0.124,0.5957142857142858,28,5469724.0
888,31.342857142857145,26.02857142857143,28.585714285714285,79.77142857142857,3.0509999999999997,4.761428571428572,45,5469724.0
818,31.8,25.271428571428572,28.52857142857143,79.04285714285713,6.910285714285714,6.547142857142857,45,5469724.0
