epi_week,disease,dengue_cases,datetime
2021-W14,Dengue Fever,102,2021-04-04
2021-W15,Dengue Fever,112,2021-04-11
2021-W16,Dengue Fever,128,2021-04-18
2021-W17,Dengue Fever,84,2021-04-25
2021-W18,Dengue Fever,117,2021-05-02
2021-W19,Dengue Fever,92,2021-05-09
2021-W20,Dengue Fever,116,2021-05-16
2021-W21,Dengue Fever,130,2021-05-23
2021-W22,Dengue Fever,118,2021-05-30
2021-W23,Dengue Fever,137,2021-06-06
2021-W24,Dengue Fever,135,2021-06-13
2021-W25,Dengue Fever,126,2021-06-20
2021-W26,Dengue Fever,112,2021-06-27
2021-W27,Dengue Fever,104,2021-07-04
2021-W28,Dengue Fever,75,2021-07-11
2021-W29,Dengue Fever,80,2021-07-18
2021-W30,Dengue Fever,82,2021-07-25
2021-W31,Dengue Fever,70,2021-08-01
2021-W32,Dengue Fever,81,2021-08-08
2021-W33,Dengue Fever,56,2021-08-15
2021-W34,Dengue Fever,53,2021-08-22
2021-W35,Dengue Fever,46,2021-08-29
2021-W36,Dengue Fever,60,2021-09-05
2021-W37,Dengue Fever,74,2021-09-12
2021-W38,Dengue Fever,109,2021-09-19
2021-W39,Dengue Fever,105,2021-09-26
2021-W40,Dengue Fever,104,2021-10-03
2021-W41,Dengue Fever,85,2021-10-10
2021-W42,Dengue Fever,76,2021-10-17
2021-W43,Dengue Fever,75,2021-10-24
2021-W44,Dengue Fever,59,2021-10-31
2021-W45,Dengue Fever,42,2021-11-07
2021-W46,Dengue Fever,56,2021-11-14
2021-W47,Dengue Fever,63,2021-11-21
2021-W48,Dengue Fever,48,2021-11-28
2021-W49,Dengue Fever,64,2021-12-05
2021-W50,Dengue Fever,61,2021-12-12
2021-W51,Dengue Fever,68,2021-12-19
2021-W52,Dengue Fever,79,2021-12-26
2022-W01,Dengue Fever,106,2022-01-02
2022-W02,Dengue Fever,146,2022-01-09
2022-W03,Dengue Fever,178,2022-01-16
2022-W04,Dengue Fever,169,2022-01-23
2022-W05,Dengue Fever,153,2022-01-30
2022-W06,Dengue Fever,168,2022-02-06
2022-W07,Dengue Fever,206,2022-02-13
2022-W08,Dengue Fever,200,2022-02-20
2022-W09,Dengue Fever,263,2022-02-27
2022-W10,Dengue Fever,369,2022-03-06
2022-W11,Dengue Fever,421,2022-03-13
2022-W12,Dengue Fever,441,2022-03-20
2022-W13,Dengue Fever,510,2022-03-27
2022-W14,Dengue Fever,642,2022-04-03
2022-W15,Dengue Fever,733,2022-04-10
2022-W16,Dengue Fever,942,2022-04-17
2022-W17,Dengue Fever,1002,2022-04-24
2022-W18,Dengue Fever,845,2022-05-01
2022-W19,Dengue Fever,1311,2022-05-08
2022-W20,Dengue Fever,1273,2022-05-15
2022-W21,Dengue Fever,1563,2022-05-22
2022-W22,Dengue Fever,1451,2022-05-29
2022-W23,Dengue Fever,1459,2022-06-05
2022-W24,Dengue Fever,1253,2022-06-12
2022-W25,Dengue Fever,1171,2022-06-19
2022-W26,Dengue Fever,1186,2022-06-26
2022-W27,Dengue Fever,1164,2022-07-03
2022-W28,Dengue Fever,918,2022-07-10
2022-W29,Dengue Fever,1035,2022-07-17
2022-W30,Dengue Fever,1092,2022-07-24
2022-W31,Dengue Fever,894,2022-07-31
2022-W32,Dengue Fever,879,2022-08-07
2022-W33,Dengue Fever,679,2022-08-14
2022-W34,Dengue Fever,661,2022-08-21
2022-W35,Dengue Fever,577,2022-08-28
2022-W36,Dengue Fever,569,2022-09-04
2022-W37,Dengue Fever,544,2022-09-11
2022-W38,Dengue Fever,472,2022-09-18
2022-W39,Dengue Fever,426,2022-09-25
2022-W40,Dengue Fever,397,2022-10-02
2022-W41,Dengue Fever,376,2022-10-09
2022-W42,Dengue Fever,373,2022-10-16
2022-W43,Dengue Fever,313,2022-10-23
2022-W44,Dengue Fever,317,2022-10-30
2022-W45,Dengue Fever,294,2022-11-06
2022-W46,Dengue Fever,312,2022-11-13
2022-W47,Dengue Fever,265,2022-11-20
2022-W48,Dengue Fever,242,2022-11-27
2022-W49,Dengue Fever,326,2022-12-04
2022-W50,Dengue Fever,289,2022-12-11
2022-W51,Dengue Fever,270,2022-12-18
2022-W52,Dengue Fever,285,2022-12-25
